IN,EN Hint,ES Hint,EN Answer,ES Answer,Comment
1,first planet,primer planeta,Mercury,Mercurio,
2,second planet,segundo planeta,Venus,Venus,
3,third planet,tercer planeta,Earth,Tierra,
4,fourth planet,cuarto planeta,Mars,Marte,
5,fifth planet,quinto planeta,Jupiter,Júpiter,
6,frozen form of water,agua congelada,ice/snow,hielo/nieve,
7,hardest Material,material más duro,diamond,diamante,
8,liquid form of Ice,hielo derretido,water,agua,
9,coldest continent,continente más frío,Antartica,Antártica,
10,hours in a week,horas en una semana,10080,10080,
11,seconds in an hour,segundos en una hora,3600,3600,
12,minutes in a day,minutos en un día,1440,1440,
13,three feet in inches,tres pies en pulgadas,36,36,
14,four feet in inches,cuatro pies en pulgadas,48,48,
15,five feet in inches,cinco pies en pulgadas,60,60,
16,six feet in inches,seis pies en pulgadas,72,72,
17,seven feet in inches,siete pies en pulgadas,84,84,
18,largest mammal,mamífero más grande,[blue]whale,ballena[azul],
19,molten rock,roca fundida,lava,lava,
20,# wheels on a car,# ruedas en un coche,4,4,
21,# wheels on a bike,# ruedas en una bicicleta,2,2,
22,our galaxy,nuestra galaxia,Milkey way,Vía láctea,
23,1Kg in grams,1Kg en gramos,1000,1000,
24,2 days after Monday,2 días después del lunes,Wednesday,miércoles,
25,2 days after Tuesday,2 días después del martes,Thursday,jueves,
26,2 days after Wednesday,2 días después del miércoles,Friday,viernes,
27,2 days after Thursday,2 días después del jueves,Saturday,sábado,
28,2 days after Friday,2 días después del viernes,Sunday,domingo,
29,2 days after Saturday,2 días después del sábado,Monday,lunes,
30,2 days after Sunday,2 días después del domingo,Tuesday,martes,
31,69,69,69,69,for CC
32,68,68,68,68,for CC
33,64,64,64,64,for CC
34,62,62,62,62,for CC
35,66,66,66,66,for CC
36,60,60,60,60,for CC
37,55,55,55,55,for CC
38,53,53,53,53,for CC
39,46,46,46,46,for CC
40,54,54,54,54,for CC
41,Buffalo,Búfalo,Buffalo,Búfalo,
42,Camel,Camello,Camel,Camello,
43,Deer,Venado,Deer,Venado,
44,Elephant,Elefante,Elephant,Elefante,
45,Giraffe,Jirafa,Giraffe,Jirafa,
46,Gorilla,Gorila,Gorilla,Gorila,
47,Horse,Caballo,Horse,Caballo,
48,Kangaroo,Canguro,Kangaroo,Canguro,
49,Leopard,Leopardo,Leopard,Leopardo,
50,Rabbit,Conejo,Rabbit,Conejo,
51,Squirrel,Ardilla,Squirrel,Ardilla,
52,Whale,Bellena,Whale,Bellena,
53,Dolphin,Delfín,Dolphin,Delfín,
54,Crow,Cuervo,Crow,Cuervo,
55,Dove,Paloma,Dove,Paloma,
56,Eagle,Águila,Eagle,Águila,
57,Flamingo,Flamenco,Flamingo,Flamenco,
58,Hummingbird,Colibrí,Hummingbird,Colibrí,
59,Ostrich,Avestruz,Ostrich,Avestruz,
60,Parrot,Papagayo,Parrot,Papagayo,
61,Pelican,Pelicano,Pelican,Pelicano,
62,Pigeon,Paloma,Pigeon,Paloma,
63,Quetzal,Quetzal,Quetzal,Quetzal,
